N-degree;E-degree;Emergency Type;Date;Time
35,15346381;136,9744929;Traffic: ROAD OBSTRUCTION -;8-10-2019;00:00:00
35,11854464;136,9795182;EMS: SUBJECT IN PAIN;8-10-2019;00:00:00
35,15651284;136,9274426;EMS: RESPIRATORY EMERGENCY;8-10-2019;00:00:00
35,17291094;136,9504005;EMS: VEHICLE ACCIDENT;8-10-2019;00:31:50
35,16945222;136,9502498;Traffic: ROAD OBSTRUCTION -;8-10-2019;01:05:40
35,16533245;136,989466;Traffic: VEHICLE ACCIDENT -;8-10-2019;01:48:00
35,19663963;136,9598084;Traffic: VEHICLE ACCIDENT -;8-10-2019;01:48:57
35,11487154;136,9186199;Traffic: DISABLED VEHICLE -;8-10-2019;02:29:45
35,15556158;136,9772979;EMS: FALL VICTIM;8-10-2019;02:30:16
35,18130316;136,9155382;Traffic: VEHICLE ACCIDENT -;8-10-2019;02:37:26
35,1176125;136,9727746;Traffic: VEHICLE ACCIDENT -;8-10-2019;03:20:11
35,15770192;136,933831;Fire: VEHICLE ACCIDENT;8-10-2019;03:43:32
35,11750577;136,9245129;EMS: HEAD INJURY;8-10-2019;03:53:58
35,1677756;136,9816859;EMS: FALL VICTIM;8-10-2019;04:05:40
35,12545055;136,9767405;Traffic: VEHICLE ACCIDENT -;8-10-2019;04:17:53
35,11408113;136,9591999;EMS: ASSAULT VICTIM;8-10-2019;04:38:15
35,17464923;136,9240361;EMS: ABDOMINAL PAINS;8-10-2019;04:43:41
35,14672741;136,9480736;EMS: FEVER;8-10-2019;04:45:46
35,18783668;136,9763774;EMS: CARDIAC EMERGENCY;8-10-2019;04:49:56
35,17212795;136,9405289;EMS: UNRESPONSIVE SUBJECT;8-10-2019;05:15:50
35,15156387;136,9782362;EMS: VEHICLE ACCIDENT;8-10-2019;05:36:19
35,12652969;136,9199982;EMS: CARDIAC EMERGENCY;8-10-2019;05:38:57
35,13045693;136,9255633;Traffic: DISABLED VEHICLE -;8-10-2019;05:41:31
35,18357155;136,9926969;Fire: UNKNOWN TYPE FIRE;8-10-2019;05:42:28
35,14415796;136,9752178;Traffic: HAZARDOUS ROAD CONDITIONS -;8-10-2019;05:48:58
35,19073744;136,9181796;EMS: CVA/STROKE;8-10-2019;05:53:47
35,11395185;136,9654553;EMS: DIZZINESS;8-10-2019;05:55:35
35,1352659;136,9908334;Fire: FIRE SPECIAL SERVICE;8-10-2019;06:00:30
35,14419373;136,9304901;Traffic: VEHICLE ACCIDENT -;8-10-2019;06:04:07
35,15568783;136,9930845;Traffic: VEHICLE ACCIDENT -;8-10-2019;06:05:33
