RI;Al;Mn;Pb;Si;K;Cu;Ag;Fe;Type
152.101;13.64;3.49;0.3;71.78;0.06;11.75;0;0;Revolver
151.761;13.89;2.6;0.56;72.73;0.48;10.83;0;0;Revolver
151.618;13.53;2.55;0.74;72.99;0.39;10.78;0;0;Revolver
151.766;13.21;2.69;0.49;72.61;0.57;11.22;0;0;Revolver
151.742;13.27;2.62;0.44;73.08;0.55;11.07;0;0;Revolver
151.596;12.79;2.61;0.82;72.97;0.64;11.07;0;0.26;Revolver
151.743;13.3;2.6;0.34;73.09;0.58;11.17;0;0;Revolver
151.756;13.15;2.61;0.25;73.24;0.57;11.24;0;0;Revolver
151.918;14.04;2.58;0.57;72.08;0.56;11.3;0;0;Revolver
151.755;13;2.6;0.56;72.99;0.57;11.4;0;0.11;Revolver
151.571;12.72;2.46;0.76;73.2;0.67;11.09;0;0.24;Revolver
151.763;12.8;2.66;0.47;73.01;0.6;11.56;0;0;Revolver
151.589;12.88;2.43;0.6;73.28;0.69;11.05;0;0.24;Revolver
151.748;12.86;2.56;0.47;73.21;0.54;11.38;0;0.17;Revolver
151.763;12.61;2.59;0.51;73.29;0.58;11.5;0;0;Revolver
151.761;12.81;2.54;0.43;73.24;0.58;11.39;0;0;Revolver
151.784;12.68;2.67;0.36;73.11;0.61;11.7;0;0;Revolver
152.196;14.36;2.85;0.09;71.36;0.15;12.15;0;0;Revolver
151.911;13.9;2.73;0.38;72.12;0.06;11.89;0;0;Revolver
151.735;13.02;2.54;0.89;72.73;0.54;11.44;0;0.07;Revolver
15.175;12.82;2.55;0.69;72.75;0.54;11.52;0;0.19;Revolver
151.966;14.77;2.75;0;72.02;0.03;12;0;0;Revolver
151.736;12.78;2.62;0.49;72.79;0.59;11.7;0;0;Revolver
151.751;12.81;2.57;0.55;73.02;0.62;11.59;0;0;Revolver
15.172;13.38;2.5;0.35;72.85;0.5;11.43;0;0;Revolver
151.764;12.98;2.54;0.41;73;0.65;11.53;0;0;Revolver
151.793;13.21;2.48;0.61;72.64;0.59;11.43;0;0;Revolver
151.721;12.87;2.48;0.53;73.04;0.56;11.43;0;0;Revolver
151.768;12.56;2.52;0.63;73.15;0.57;11.54;0;0;Revolver
151.784;13.08;2.49;0.48;72.86;0.6;11.49;0;0;Revolver
151.768;12.65;2.56;0.5;73.08;0.61;11.69;0;0.14;Revolver
151.747;12.84;2.5;0.34;73.27;0.56;11.55;0;0;Revolver
151.775;12.85;2.48;0.43;72.97;0.61;11.56;0.09;0.22;Revolver
151.753;12.57;2.47;0.58;73.39;0.6;11.55;0;0.06;Revolver
151.783;12.69;2.54;0.54;72.95;0.57;11.75;0;0;Revolver
